time:UTC,time:Pacific/Auckland,hs:m,hmax:m,dpm:degree,tp:s,hs_above_8s:m,dpm_above_8s:degree,tp_above_8s:s,hs_below_8s:m,dpm_below_8s:degree,tp_below_8s:s
2024-10-01T12:00:00.000Z,2024-10-02T01:00:00.000+13:00,1.24,2.21,71.94,8.36,0.88,71.94,8.46,0.93,,
2024-10-01T13:00:00.000Z,2024-10-02T02:00:00.000+13:00,1.26,2.24,71.6,8.37,0.89,71.6,8.46,0.95,,
2024-10-01T14:00:00.000Z,2024-10-02T03:00:00.000+13:00,1.26,2.25,71.58,8.43,0.89,71.58,8.51,0.96,288.84,2.07
2024-10-01T15:00:00.000Z,2024-10-02T04:00:00.000+13:00,1.26,2.26,71.41,8.61,0.88,71.41,8.66,0.96,294.29,2
2024-10-01T16:00:00.000Z,2024-10-02T05:00:00.000+13:00,1.26,2.27,90.41,8.95,0.87,90.41,8.95,0.96,301.19,2.06
2024-10-01T17:00:00.000Z,2024-10-02T06:00:00.000+13:00,1.26,2.28,86.59,9.03,0.87,86.59,9.03,0.96,311.19,2.21
2024-10-01T18:00:00.000Z,2024-10-02T07:00:00.000+13:00,1.27,2.31,82.14,9.08,0.89,82.14,9.08,0.97,323.38,2.35
2024-10-01T19:00:00.000Z,2024-10-02T08:00:00.000+13:00,1.29,2.34,78.35,9.09,0.9,78.35,9.09,0.98,327.94,2.46
2024-10-01T20:00:00.000Z,2024-10-02T09:00:00.000+13:00,1.31,2.37,75.73,9.1,0.91,75.73,9.1,0.99,341.99,2.61
2024-10-01T21:00:00.000Z,2024-10-02T10:00:00.000+13:00,1.31,2.37,73.92,9.1,0.91,73.92,9.1,1,345.07,2.72
2024-10-01T22:00:00.000Z,2024-10-02T11:00:00.000+13:00,1.31,2.36,72.17,9.09,0.9,72.17,9.09,1,351.62,2.74
2024-10-01T23:00:00.000Z,2024-10-02T12:00:00.000+13:00,1.31,2.36,69.97,9.1,0.91,69.97,9.1,1,2.88,2.69
2024-10-02T00:00:00.000Z,2024-10-02T13:00:00.000+13:00,1.33,2.4,67.36,9.1,0.93,67.36,9.1,1.01,18.82,2.67
2024-10-02T01:00:00.000Z,2024-10-02T14:00:00.000+13:00,1.37,2.48,64.87,9.11,0.96,64.87,9.11,1.04,32.26,2.78
2024-10-02T02:00:00.000Z,2024-10-02T15:00:00.000+13:00,1.43,2.59,62.97,9.1,1.01,62.97,9.1,1.08,49.19,2.97
2024-10-02T03:00:00.000Z,2024-10-02T16:00:00.000+13:00,1.49,2.7,61.61,9.05,1.05,61.61,9.05,1.13,55.97,3.31
2024-10-02T04:00:00.000Z,2024-10-02T17:00:00.000+13:00,1.54,2.79,60.56,8.97,1.07,60.56,8.97,1.18,57.74,3.59
2024-10-02T05:00:00.000Z,2024-10-02T18:00:00.000+13:00,1.59,2.88,52.78,8.8,1.09,52.78,8.83,1.23,55.42,3.79
2024-10-02T06:00:00.000Z,2024-10-02T19:00:00.000+13:00,1.66,3.01,52.62,8.69,1.12,52.62,8.73,1.3,56.62,4.13
2024-10-02T07:00:00.000Z,2024-10-02T20:00:00.000+13:00,1.75,3.17,52.74,8.63,1.17,52.74,8.68,1.38,,
2024-10-02T08:00:00.000Z,2024-10-02T21:00:00.000+13:00,1.83,3.31,52.93,8.58,1.22,52.93,8.64,1.44,,
2024-10-02T09:00:00.000Z,2024-10-02T22:00:00.000+13:00,1.89,3.41,53.08,8.53,1.27,53.08,8.6,1.49,,
2024-10-02T10:00:00.000Z,2024-10-02T23:00:00.000+13:00,1.93,3.47,53.24,8.49,1.29,53.24,8.56,1.53,,
2024-10-02T11:00:00.000Z,2024-10-03T00:00:00.000+13:00,1.95,3.5,53.47,8.44,1.29,53.47,8.52,1.55,,
2024-10-02T12:00:00.000Z,2024-10-03T01:00:00.000+13:00,1.93,3.46,53.83,8.4,1.28,53.83,8.49,1.54,,
2024-10-02T13:00:00.000Z,2024-10-03T02:00:00.000+13:00,1.89,3.4,54.3,8.36,1.26,54.3,8.46,1.51,,
2024-10-02T14:00:00.000Z,2024-10-03T03:00:00.000+13:00,1.87,3.36,54.8,8.31,1.24,54.8,8.42,1.5,,
2024-10-02T15:00:00.000Z,2024-10-03T04:00:00.000+13:00,1.85,3.33,55.44,8.23,1.21,55.44,8.35,1.49,232.8,2.72
2024-10-02T16:00:00.000Z,2024-10-03T05:00:00.000+13:00,1.8,3.25,54.08,8.06,1.14,,,1.49,54.08,7.84
2024-10-02T17:00:00.000Z,2024-10-03T06:00:00.000+13:00,1.74,3.16,55.47,7.91,1.05,,,1.48,55.47,7.74
2024-10-02T18:00:00.000Z,2024-10-03T07:00:00.000+13:00,1.69,3.08,57.84,7.82,0.98,,,1.46,57.84,7.68
2024-10-02T19:00:00.000Z,2024-10-03T08:00:00.000+13:00,1.67,3.03,61.19,7.8,0.96,,,1.44,61.19,7.66
2024-10-02T20:00:00.000Z,2024-10-03T09:00:00.000+13:00,1.68,3.04,64.82,7.91,0.99,,,1.42,64.82,7.74
2024-10-02T21:00:00.000Z,2024-10-03T10:00:00.000+13:00,1.71,3.1,71.39,8.25,1.09,71.39,8.36,1.4,255.44,3.39
2024-10-02T22:00:00.000Z,2024-10-03T11:00:00.000+13:00,1.77,3.19,71.34,8.63,1.21,71.34,8.68,1.38,253.25,3.39
2024-10-02T23:00:00.000Z,2024-10-03T12:00:00.000+13:00,1.84,3.31,72.2,8.95,1.33,72.2,8.95,1.36,251.4,3.43
2024-10-03T00:00:00.000Z,2024-10-03T13:00:00.000+13:00,1.91,3.43,70.73,9.12,1.45,70.73,9.12,1.34,,
2024-10-03T01:00:00.000Z,2024-10-03T14:00:00.000+13:00,1.97,3.53,69.53,9.3,1.55,69.53,9.3,1.32,246.84,3.12
2024-10-03T02:00:00.000Z,2024-10-03T15:00:00.000+13:00,2.02,3.61,68.58,9.45,1.63,68.58,9.45,1.29,248.74,3.09
2024-10-03T03:00:00.000Z,2024-10-03T16:00:00.000+13:00,2.06,3.67,67.81,9.58,1.7,67.81,9.58,1.26,250.61,3.08
2024-10-03T04:00:00.000Z,2024-10-03T17:00:00.000+13:00,2.09,3.72,67.15,9.72,1.74,67.15,9.72,1.25,254.35,3.1
2024-10-03T05:00:00.000Z,2024-10-03T18:00:00.000+13:00,2.12,3.77,67.44,9.9,1.78,67.44,9.9,1.23,,
2024-10-03T06:00:00.000Z,2024-10-03T19:00:00.000+13:00,2.14,3.8,66.49,10.08,1.81,66.49,10.08,1.22,,
2024-10-03T07:00:00.000Z,2024-10-03T20:00:00.000+13:00,2.15,3.81,65.53,10.19,1.83,65.53,10.19,1.21,,
2024-10-03T08:00:00.000Z,2024-10-03T21:00:00.000+13:00,2.15,3.81,64.61,10.25,1.83,64.61,10.25,1.2,,
2024-10-03T09:00:00.000Z,2024-10-03T22:00:00.000+13:00,2.14,3.79,63.79,10.29,1.83,63.79,10.29,1.19,,
2024-10-03T10:00:00.000Z,2024-10-03T23:00:00.000+13:00,2.13,3.76,63.07,10.31,1.82,63.07,10.31,1.17,,
2024-10-03T11:00:00.000Z,2024-10-04T00:00:00.000+13:00,2.11,3.72,62.45,10.33,1.8,62.45,10.33,1.16,,
2024-10-03T12:00:00.000Z,2024-10-04T01:00:00.000+13:00,2.09,3.68,61.94,10.35,1.79,61.94,10.35,1.15,,
2024-10-03T13:00:00.000Z,2024-10-04T02:00:00.000+13:00,2.07,3.64,61.54,10.37,1.77,61.54,10.37,1.13,,
2024-10-03T14:00:00.000Z,2024-10-04T03:00:00.000+13:00,2.05,3.6,61.23,10.39,1.75,61.23,10.39,1.12,,
2024-10-03T15:00:00.000Z,2024-10-04T04:00:00.000+13:00,2.03,3.57,61.01,10.41,1.74,61.01,10.41,1.12,,
2024-10-03T16:00:00.000Z,2024-10-04T05:00:00.000+13:00,2.01,3.53,60.85,10.42,1.72,60.85,10.42,1.11,,
2024-10-03T17:00:00.000Z,2024-10-04T06:00:00.000+13:00,1.99,3.5,60.71,10.43,1.7,60.71,10.43,1.1,,
2024-10-03T18:00:00.000Z,2024-10-04T07:00:00.000+13:00,1.97,3.46,60.59,10.44,1.68,60.59,10.44,1.09,,
2024-10-03T19:00:00.000Z,2024-10-04T08:00:00.000+13:00,1.94,3.42,60.48,10.43,1.65,60.48,10.43,1.09,,
2024-10-03T20:00:00.000Z,2024-10-04T09:00:00.000+13:00,1.91,3.37,60.37,10.42,1.62,60.37,10.42,1.08,,
2024-10-03T21:00:00.000Z,2024-10-04T10:00:00.000+13:00,1.87,3.3,60.28,10.38,1.59,60.28,10.38,1.06,,
2024-10-03T22:00:00.000Z,2024-10-04T11:00:00.000+13:00,1.83,3.23,60.2,10.34,1.54,60.2,10.34,1.05,,
2024-10-03T23:00:00.000Z,2024-10-04T12:00:00.000+13:00,1.79,3.16,60.15,10.28,1.5,60.15,10.28,1.04,,
2024-10-04T00:00:00.000Z,2024-10-04T13:00:00.000+13:00,1.75,3.09,60.13,10.21,1.46,60.13,10.21,1.03,,
2024-10-04T01:00:00.000Z,2024-10-04T14:00:00.000+13:00,1.71,3.02,60.15,10.13,1.41,60.15,10.13,1.02,,
2024-10-04T02:00:00.000Z,2024-10-04T15:00:00.000+13:00,1.67,2.95,60.22,10.04,1.37,60.22,10.04,1.01,,
2024-10-04T03:00:00.000Z,2024-10-04T16:00:00.000+13:00,1.63,2.88,60.32,9.94,1.33,60.32,9.94,1,,
2024-10-04T04:00:00.000Z,2024-10-04T17:00:00.000+13:00,1.59,2.82,60.46,9.83,1.29,60.46,9.83,0.99,,
2024-10-04T05:00:00.000Z,2024-10-04T18:00:00.000+13:00,1.56,2.76,62.09,9.69,1.25,62.09,9.69,0.98,,
2024-10-04T06:00:00.000Z,2024-10-04T19:00:00.000+13:00,1.53,2.71,62.13,9.59,1.23,62.13,9.59,0.97,,
2024-10-04T07:00:00.000Z,2024-10-04T20:00:00.000+13:00,1.5,2.66,62.21,9.52,1.2,62.21,9.52,0.96,,
2024-10-04T08:00:00.000Z,2024-10-04T21:00:00.000+13:00,1.48,2.63,62.31,9.47,1.18,62.31,9.47,0.95,,
2024-10-04T09:00:00.000Z,2024-10-04T22:00:00.000+13:00,1.46,2.6,62.47,9.45,1.17,62.47,9.45,0.94,,
