time:UTC,time:Pacific/Auckland,hs:m,hmax:m,dpm:degree,tp:s,hs_above_8s:m,dpm_above_8s:degree,hs_below_8s:m,dpm_below_8s:degree,tp_below_8s:s
2024-10-01T12:00:00.000Z,2024-10-02T01:00:00.000+13:00,0.97,1.75,143.87,9.32,0.66,143.87,0.73,,
2024-10-01T13:00:00.000Z,2024-10-02T02:00:00.000+13:00,0.94,1.71,143.34,9.3,0.65,143.34,0.71,,
2024-10-01T14:00:00.000Z,2024-10-02T03:00:00.000+13:00,0.92,1.66,142.86,9.29,0.63,142.86,0.69,,
2024-10-01T15:00:00.000Z,2024-10-02T04:00:00.000+13:00,0.89,1.61,142.31,9.28,0.62,142.31,0.67,,
2024-10-01T16:00:00.000Z,2024-10-02T05:00:00.000+13:00,0.87,1.56,141.6,9.27,0.61,141.6,0.64,,
2024-10-01T17:00:00.000Z,2024-10-02T06:00:00.000+13:00,0.85,1.53,140.5,9.26,0.6,140.5,0.62,,
2024-10-01T18:00:00.000Z,2024-10-02T07:00:00.000+13:00,0.83,1.49,138.69,9.26,0.59,138.69,0.61,71.96,6.69
2024-10-01T19:00:00.000Z,2024-10-02T08:00:00.000+13:00,0.81,1.46,136.07,9.26,0.58,136.07,0.59,72.21,6.64
2024-10-01T20:00:00.000Z,2024-10-02T09:00:00.000+13:00,0.8,1.44,132.89,9.26,0.57,132.89,0.58,72.49,6.6
2024-10-01T21:00:00.000Z,2024-10-02T10:00:00.000+13:00,0.79,1.42,129.43,9.26,0.57,129.43,0.57,72.81,6.58
2024-10-01T22:00:00.000Z,2024-10-02T11:00:00.000+13:00,0.78,1.4,125.72,9.25,0.57,125.72,0.56,73.14,6.59
2024-10-01T23:00:00.000Z,2024-10-02T12:00:00.000+13:00,0.78,1.39,122.04,9.25,0.57,122.04,0.55,73.41,6.63
2024-10-02T00:00:00.000Z,2024-10-02T13:00:00.000+13:00,0.77,1.38,118.78,9.24,0.57,118.78,0.55,,
2024-10-02T01:00:00.000Z,2024-10-02T14:00:00.000+13:00,0.77,1.38,115.89,9.25,0.57,115.89,0.54,,
2024-10-02T02:00:00.000Z,2024-10-02T15:00:00.000+13:00,0.77,1.38,113.08,9.26,0.56,113.08,0.54,,
2024-10-02T03:00:00.000Z,2024-10-02T16:00:00.000+13:00,0.77,1.4,110.45,9.26,0.56,110.45,0.55,152.93,1.89
2024-10-02T04:00:00.000Z,2024-10-02T17:00:00.000+13:00,0.79,1.43,108.14,9.26,0.56,108.14,0.57,161.42,2.08
2024-10-02T05:00:00.000Z,2024-10-02T18:00:00.000+13:00,0.81,1.49,106.36,9.26,0.56,106.36,0.6,167.74,2.26
2024-10-02T06:00:00.000Z,2024-10-02T19:00:00.000+13:00,0.86,1.6,105.49,9.24,0.56,105.49,0.67,163.51,2.64
2024-10-02T07:00:00.000Z,2024-10-02T20:00:00.000+13:00,0.91,1.69,105.5,9.23,0.55,105.5,0.74,164.72,2.94
2024-10-02T08:00:00.000Z,2024-10-02T21:00:00.000+13:00,0.97,1.81,106.03,9.21,0.55,106.03,0.82,166.14,3.31
2024-10-02T09:00:00.000Z,2024-10-02T22:00:00.000+13:00,1.04,1.94,106.26,9.22,0.54,106.26,0.9,167.44,3.6
2024-10-02T10:00:00.000Z,2024-10-02T23:00:00.000+13:00,1.12,2.08,104.73,9.27,0.54,104.73,0.99,168.98,3.92
2024-10-02T11:00:00.000Z,2024-10-03T00:00:00.000+13:00,1.19,2.21,170.57,4.21,0.54,101.24,1.07,170.57,4.21
2024-10-02T12:00:00.000Z,2024-10-03T01:00:00.000+13:00,1.21,2.25,170.89,4.29,0.55,96.97,1.09,170.89,4.29
2024-10-02T13:00:00.000Z,2024-10-03T02:00:00.000+13:00,1.23,2.27,167.87,4.32,0.56,92.42,1.11,167.87,4.32
2024-10-02T14:00:00.000Z,2024-10-03T03:00:00.000+13:00,1.26,2.32,163.34,4.33,0.57,87.94,1.13,163.34,4.33
2024-10-02T15:00:00.000Z,2024-10-03T04:00:00.000+13:00,1.29,2.38,158.71,4.39,0.59,84.03,1.16,158.71,4.39
2024-10-02T16:00:00.000Z,2024-10-03T05:00:00.000+13:00,1.33,2.45,155.7,4.45,0.61,80.72,1.2,155.7,4.45
2024-10-02T17:00:00.000Z,2024-10-03T06:00:00.000+13:00,1.37,2.53,78.46,9.26,0.64,78.46,1.23,154.64,4.53
2024-10-02T18:00:00.000Z,2024-10-03T07:00:00.000+13:00,1.42,2.62,76.93,9.08,0.66,76.93,1.28,153.77,4.66
2024-10-02T19:00:00.000Z,2024-10-03T08:00:00.000+13:00,1.47,2.7,73.34,8.89,0.7,73.34,1.31,153.83,4.79
2024-10-02T20:00:00.000Z,2024-10-03T09:00:00.000+13:00,1.51,2.77,69.59,8.68,0.75,69.59,1.34,153.62,4.86
2024-10-02T21:00:00.000Z,2024-10-03T10:00:00.000+13:00,1.55,2.84,66.83,8.54,0.78,66.83,1.37,153.32,4.93
2024-10-02T22:00:00.000Z,2024-10-03T11:00:00.000+13:00,1.56,2.85,65.24,8.41,0.79,65.24,1.37,153.38,5.07
