time:UTC,time:Pacific/Auckland,hs:m,hmax:m,dpm:degree,tp:s,hs_above_8s:m,dpm_above_8s:degree,tp_above_8s:s,hs_below_8s:m,dpm_below_8s:degree,tp_below_8s:s
2024-09-26T23:00:00.000Z,2024-09-27T11:00:00.000+12:00,1.05,1.9,143.8,9.36,0.9,143.8,9.36,0.6,301.34,2.02
2024-09-27T00:00:00.000Z,2024-09-27T12:00:00.000+12:00,1.02,1.85,143.44,9.31,0.88,143.44,9.31,0.58,287.22,2.01
2024-09-27T01:00:00.000Z,2024-09-27T13:00:00.000+12:00,1.01,1.82,143.06,9.27,0.85,143.06,9.27,0.58,260.86,2.03
2024-09-27T02:00:00.000Z,2024-09-27T14:00:00.000+12:00,1.01,1.83,142.61,9.21,0.83,142.61,9.21,0.61,231,2.12
2024-09-27T03:00:00.000Z,2024-09-27T15:00:00.000+12:00,1.04,1.89,141.94,9.1,0.81,141.94,9.1,0.69,171.79,3.06
2024-09-27T04:00:00.000Z,2024-09-27T16:00:00.000+12:00,1.1,2,145.99,8.79,0.8,145.99,8.82,0.79,,
2024-09-27T05:00:00.000Z,2024-09-27T17:00:00.000+12:00,1.15,2.09,147.11,8.49,0.79,147.11,8.56,0.86,,
2024-09-27T06:00:00.000Z,2024-09-27T18:00:00.000+12:00,1.18,2.14,148.56,8.24,0.79,148.56,8.36,0.91,,
2024-09-27T07:00:00.000Z,2024-09-27T19:00:00.000+12:00,1.19,2.16,150.09,8.13,0.79,150.09,8.26,0.93,,
2024-09-27T08:00:00.000Z,2024-09-27T20:00:00.000+12:00,1.19,2.17,151.64,8.12,0.79,151.64,8.26,0.93,,
2024-09-27T09:00:00.000Z,2024-09-27T21:00:00.000+12:00,1.19,2.16,153.14,8.16,0.79,153.14,8.29,0.93,,
2024-09-27T10:00:00.000Z,2024-09-27T22:00:00.000+12:00,1.19,2.15,154.53,8.2,0.79,154.53,8.33,0.92,,
2024-09-27T11:00:00.000Z,2024-09-27T23:00:00.000+12:00,1.18,2.15,155.78,8.24,0.79,155.78,8.36,0.92,,
2024-09-27T12:00:00.000Z,2024-09-28T00:00:00.000+12:00,1.18,2.14,156.9,8.27,0.79,156.9,8.39,0.92,,
2024-09-27T13:00:00.000Z,2024-09-28T01:00:00.000+12:00,1.18,2.14,157.88,8.29,0.79,157.88,8.4,0.92,,
2024-09-27T14:00:00.000Z,2024-09-28T02:00:00.000+12:00,1.18,2.14,158.72,8.29,0.79,158.72,8.4,0.92,,
2024-09-27T15:00:00.000Z,2024-09-28T03:00:00.000+12:00,1.18,2.14,159.41,8.28,0.78,159.41,8.39,0.92,,
2024-09-27T16:00:00.000Z,2024-09-28T04:00:00.000+12:00,1.17,2.13,159.95,8.27,0.78,159.95,8.38,0.91,,
2024-09-27T17:00:00.000Z,2024-09-28T05:00:00.000+12:00,1.16,2.11,160.35,8.26,0.78,160.35,8.37,0.9,,
2024-09-27T18:00:00.000Z,2024-09-28T06:00:00.000+12:00,1.15,2.08,144.55,10.11,0.77,144.55,10.11,0.88,,
2024-09-27T19:00:00.000Z,2024-09-28T07:00:00.000+12:00,1.13,2.05,145.43,10.19,0.77,145.43,10.19,0.86,,
2024-09-27T20:00:00.000Z,2024-09-28T08:00:00.000+12:00,1.12,2.01,146.31,10.29,0.78,146.31,10.29,0.83,,
2024-09-27T21:00:00.000Z,2024-09-28T09:00:00.000+12:00,1.1,1.98,147.15,10.41,0.78,147.15,10.41,0.81,,
2024-09-27T22:00:00.000Z,2024-09-28T10:00:00.000+12:00,1.08,1.94,147.7,10.57,0.78,147.7,10.57,0.78,,
