time:UTC,time:Pacific/Auckland,visibility_in_air:km,visibility_in_air:m,wind_from_direction_at_10m_above_ground_level:deg,wind_from_direction_at_10m_above_ground_level:degree,wind_speed_at_10m_above_ground_level:kt,wind_speed_at_10m_above_ground_level:m.s^{-1},wind_speed_of_gust_at_10m_above_ground_level:kt,wind_speed_of_gust_at_10m_above_ground_level:m.s^{-1}
2024-10-01T12:00:00.000Z,2024-10-02T01:00:00.000+13:00,24.13477,24134.77,38.5,38.5,9.136069122363775,4.7,12.343412537661694,6.35
2024-10-01T15:00:00.000Z,2024-10-02T04:00:00.000+13:00,23.86739,23867.39,30.2,30.2,8.883369338128182,4.57,12.460043207308892,6.41
2024-10-01T18:00:00.000Z,2024-10-02T07:00:00.000+13:00,20.74503,20745.03,32,32,9.408207351540566,4.84,14.539956816017241,7.48
2024-10-01T21:00:00.000Z,2024-10-02T10:00:00.000+13:00,19.45972,19459.72,33.8,33.8,13.023758110603678,6.7,20.2159827388475,10.4
2024-10-02T00:00:00.000Z,2024-10-02T13:00:00.000+13:00,20.31577,20315.77,25.1,25.1,14.909287269900032,7.67,23.345572374380623,12.01
2024-10-02T03:00:00.000Z,2024-10-02T16:00:00.000+13:00,9.44014,9440.14,20.2,20.2,16.814254874137585,8.65,25.503239762853767,13.12
2024-10-02T06:00:00.000Z,2024-10-02T19:00:00.000+13:00,6.05291,6052.91,16.2,16.2,16.833693319078783,8.66,26.902807798620135,13.84
2024-10-02T09:00:00.000Z,2024-10-02T22:00:00.000+13:00,9.42372,9423.72,28.4,28.4,18.913606927787132,9.73,30.51835855768324,15.7
2024-10-02T12:00:00.000Z,2024-10-03T01:00:00.000+13:00,3.76699,3766.99,41.2,41.2,21.751619889202264,11.19,34.153347761687556,17.57
2024-10-02T15:00:00.000Z,2024-10-03T04:00:00.000+13:00,1.93958,1939.58,24.1,24.1,22.529157686850244,11.59,37.419006511809066,19.25
2024-10-02T18:00:00.000Z,2024-10-03T07:00:00.000+13:00,8.13923,8139.23,30.5,30.5,26.825054018855344,13.8,40.723542151812985,20.95
2024-10-02T21:00:00.000Z,2024-10-03T10:00:00.000+13:00,14.57921,14579.21,337.8,337.8,9.27213823695217,4.77,15.589632842842015,8.02
2024-10-03T00:00:00.000Z,2024-10-03T13:00:00.000+13:00,24.13477,24134.77,317.6,317.6,4.976241904947077,2.56,7.250539963067422,3.73
2024-10-03T03:00:00.000Z,2024-10-03T16:00:00.000+13:00,24.13477,24134.77,0.3,0.3,10.263498928953346,5.28,12.57667387695609,6.47
2024-10-03T06:00:00.000Z,2024-10-03T19:00:00.000+13:00,24.13521,24135.21,339.7,339.7,7.133909293420223,3.67,10.632829382836137,5.47
2024-10-03T09:00:00.000Z,2024-10-03T22:00:00.000+13:00,24.13477,24134.77,246.5,246.5,6.939524844008228,3.57,8.883369338128182,4.57
2024-10-03T12:00:00.000Z,2024-10-04T01:00:00.000+13:00,24.13477,24134.77,239.2,239.2,4.626349896005485,2.38,4.820734345417481,2.48
2024-10-03T15:00:00.000Z,2024-10-04T04:00:00.000+13:00,24.13477,24134.77,188.6,188.6,4.43196544659349,2.28,4.470842336475889,2.3
2024-10-03T18:00:00.000Z,2024-10-04T07:00:00.000+13:00,24.13477,24134.77,208.6,208.6,4.315334776946294,2.22,4.315334776946294,2.22
2024-10-03T21:00:00.000Z,2024-10-04T10:00:00.000+13:00,24.13477,24134.77,43.6,43.6,1.0691144717659737,0.55,1.3606911458839663,0.7
2024-10-04T00:00:00.000Z,2024-10-04T13:00:00.000+13:00,24.13477,24134.77,12.5,12.5,7.28941685294982,3.75,8.45572354942179,4.35
2024-10-04T03:00:00.000Z,2024-10-04T16:00:00.000+13:00,24.13477,24134.77,2.1,2.1,10.51619871318894,5.41,11.896328304014107,6.12
2024-10-04T06:00:00.000Z,2024-10-04T19:00:00.000+13:00,24.13477,24134.77,357.7,357.7,10.555075603071339,5.43,13.840172798134057,7.12
2024-10-04T09:00:00.000Z,2024-10-04T22:00:00.000+13:00,24.13453,24134.53,350.5,350.5,8.436285104480591,4.34,11.68250540966091,6.01
2024-10-04T12:00:00.000Z,2024-10-05T01:00:00.000+13:00,24.13477,24134.77,5.1,5.1,7.328293742832219,3.77,11.68250540966091,6.01
2024-10-04T15:00:00.000Z,2024-10-05T04:00:00.000+13:00,23.3244,23324.4,5,5,6.958963288949429,3.58,11.313174955778122,5.82
2024-10-04T18:00:00.000Z,2024-10-05T07:00:00.000+13:00,19.05603,19056.03,355.2,355.2,7.056155513655425,3.63,12.323974092720496,6.34
2024-10-04T21:00:00.000Z,2024-10-05T10:00:00.000+13:00,22.97467,22974.67,2.5,2.5,10.710583162600935,5.51,17.144708438137975,8.82
2024-10-05T00:00:00.000Z,2024-10-05T13:00:00.000+13:00,24.0344,24034.4,13.3,13.3,13.684665238604461,7.04,22.043196563320254,11.34
2024-10-05T03:00:00.000Z,2024-10-05T16:00:00.000+13:00,21.39812,21398.12,8.5,8.5,15.939524851783602,8.2,24.473002180970195,12.59
2024-10-05T06:00:00.000Z,2024-10-05T19:00:00.000+13:00,7.95136,7951.36,345,345,14.773218155311634,7.6,21.615550774613865,11.12
2024-10-05T09:00:00.000Z,2024-10-05T22:00:00.000+13:00,24.13477,24134.77,302.9,302.9,5.753779702595057,2.96,7.872570201185805,4.05
2024-10-05T12:00:00.000Z,2024-10-06T01:00:00.000+13:00,24.13477,24134.77,275.3,275.3,3.6933045388279084,1.9,4.956803460005877,2.55
2024-10-05T15:00:00.000Z,2024-10-06T04:00:00.000+13:00,24.01503,24015.03,256.4,256.4,4.606911451064287,2.37,8.45572354942179,4.35
2024-10-05T18:00:00.000Z,2024-10-06T07:00:00.000+13:00,23.37221,23372.21,280.9,280.9,8.45572354942179,4.35,16.3088553056664,8.39
2024-10-05T21:00:00.000Z,2024-10-06T10:00:00.000+13:00,24.12507,24125.07,298.9,298.9,8.241900655068596,4.24,14.462203036252443,7.44
2024-10-06T00:00:00.000Z,2024-10-06T13:00:00.000+13:00,18.576,18576,333.9,333.9,8.222462210127398,4.23,13.645788348722062,7.02
2024-10-06T03:00:00.000Z,2024-10-06T16:00:00.000+13:00,24.09604,24096.04,275.8,275.8,11.060475171542528,5.69,19.107991377199127,9.83
2024-10-06T06:00:00.000Z,2024-10-06T19:00:00.000+13:00,21.01154,21011.54,296.8,296.8,10.380129598600544,5.34,21.440604770143068,11.03
2024-10-06T09:00:00.000Z,2024-10-06T22:00:00.000+13:00,15.03954,15039.54,334.8,334.8,11.254859620954521,5.79,20.2937365186123,10.44
2024-10-06T12:00:00.000Z,2024-10-07T01:00:00.000+13:00,15.24445,15244.45,313.3,313.3,12.246220312955696,6.3,21.80993522402586,11.22
2024-10-06T15:00:00.000Z,2024-10-07T04:00:00.000+13:00,17.46416,17464.16,304.9,304.9,11.177105841189723,5.75,21.246220320731073,10.93
2024-10-06T18:00:00.000Z,2024-10-07T07:00:00.000+13:00,24.13477,24134.77,301.3,301.3,9.136069122363775,4.7,16.60043197978439,8.54
2024-10-06T21:00:00.000Z,2024-10-07T10:00:00.000+13:00,24.13477,24134.77,301.3,301.3,8.96112311789298,4.61,15.920086406842406,8.19
2024-10-07T00:00:00.000Z,2024-10-07T13:00:00.000+13:00,19.83498,19834.98,314.6,314.6,11.002159836718928,5.66,16.930885543784782,8.71
2024-10-07T03:00:00.000Z,2024-10-07T16:00:00.000+13:00,17.75732,17757.32,322.6,322.6,8.727861778598585,4.49,14.326133921664047,7.37
2024-10-07T06:00:00.000Z,2024-10-07T19:00:00.000+13:00,7.87976,7879.76,329,329,9.27213823695217,4.77,11.313174955778122,5.82
2024-10-07T09:00:00.000Z,2024-10-07T22:00:00.000+13:00,16.745669999999997,16745.67,300.2,300.2,9.991360699776553,5.14,14.190064807075649,7.3
2024-10-07T12:00:00.000Z,2024-10-08T01:00:00.000+13:00,16.2245,16224.5,292,292,8.436285104480591,4.34,11.915766748955305,6.13
2024-10-07T15:00:00.000Z,2024-10-08T04:00:00.000+13:00,23.31509,23315.09,261.5,261.5,8.397408214598194,4.32,13.373650119545271,6.88
2024-10-07T18:00:00.000Z,2024-10-08T07:00:00.000+13:00,21.58347,21583.47,260,260,8.902807783069381,4.58,18.19438446496275,9.36
2024-10-07T21:00:00.000Z,2024-10-08T10:00:00.000+13:00,24.13521,24135.21,257.7,257.7,10.846652277189332,5.58,18.000000015550754,9.26
2024-10-08T00:00:00.000Z,2024-10-08T13:00:00.000+13:00,24.13477,24134.77,271.6,271.6,9.038876897657778,4.65,14.870410380017633,7.65
2024-10-08T03:00:00.000Z,2024-10-08T16:00:00.000+13:00,24.13477,24134.77,262.6,262.6,11.526997850131314,5.93,18.56371491884554,9.55
2024-10-08T06:00:00.000Z,2024-10-08T19:00:00.000+13:00,24.13477,24134.77,266.3,266.3,9.583153356011362,4.93,15.939524851783602,8.2
2024-10-08T09:00:00.000Z,2024-10-08T22:00:00.000+13:00,24.13477,24134.77,288.6,288.6,8.397408214598194,4.32,15.745140402371609,8.1
2024-10-08T12:00:00.000Z,2024-10-09T01:00:00.000+13:00,23.22832,23228.32,287.8,287.8,5.384449248712267,2.77,8.630669553892588,4.44
2024-10-08T15:00:00.000Z,2024-10-09T04:00:00.000+13:00,24.13521,24135.21,22,22,2.546436287297137,1.31,5.812095037418657,2.99
2024-10-08T18:00:00.000Z,2024-10-09T07:00:00.000+13:00,16.88954,16889.54,341.5,341.5,10.263498928953346,5.28,19.03023759743433,9.79
2024-10-08T21:00:00.000Z,2024-10-09T10:00:00.000+13:00,24.13433,24134.33,336.9,336.9,10.12742981436495,5.21,16.425485975313592,8.45
2024-10-09T00:00:00.000Z,2024-10-09T13:00:00.000+13:00,11.86032,11860.32,353.6,353.6,15.920086406842406,8.19,23.248380149674627,11.96
2024-10-09T03:00:00.000Z,2024-10-09T16:00:00.000+13:00,14.0119,14011.9,341.2,341.2,21.49892010496667,11.06,31.995680373214412,16.46
2024-10-09T06:00:00.000Z,2024-10-09T19:00:00.000+13:00,14.3574,14357.4,286.5,286.5,6.745140394596234,3.47,11.779697634366908,6.06
2024-10-09T09:00:00.000Z,2024-10-09T22:00:00.000+13:00,24.13477,24134.77,319.2,319.2,7.28941685294982,3.75,7.989200870833003,4.11
2024-10-09T12:00:00.000Z,2024-10-10T01:00:00.000+13:00,24.13477,24134.77,297.4,297.4,3.984881212945901,2.05,5.501079918359464,2.83
2024-10-09T15:00:00.000Z,2024-10-10T04:00:00.000+13:00,24.13477,24134.77,323.9,323.9,3.615550759063111,1.86,5.131749464476673,2.64
2024-10-09T18:00:00.000Z,2024-10-10T07:00:00.000+13:00,20.51682,20516.82,311.3,311.3,4.295896332005094,2.21,7.017278623773026,3.61
2024-10-09T21:00:00.000Z,2024-10-10T10:00:00.000+13:00,24.13433,24134.33,342,342,9.233261347069773,4.75,13.684665238604461,7.04
2024-10-10T00:00:00.000Z,2024-10-10T13:00:00.000+13:00,14.04536,14045.36,354.2,354.2,15.434125283312419,7.94,18.50539958402194,9.52
