time:UTC,time:Pacific/Auckland,hs:m,hmax:m,dpm:degree,tp:s,hs_above_8s:m,dpm_above_8s:degree,tp_above_8s:s,hs_below_8s:m,dpm_below_8s:degree,tp_below_8s:s
2024-10-01T12:00:00.000Z,2024-10-02T01:00:00.000+13:00,0.52,0.99,20.54,3.66,0.12,18.86,14.09,0.51,20.54,3.66
2024-10-01T13:00:00.000Z,2024-10-02T02:00:00.000+13:00,0.55,1.04,18.18,3.83,0.12,18.59,14.06,0.54,18.18,3.83
2024-10-01T14:00:00.000Z,2024-10-02T03:00:00.000+13:00,0.57,1.08,18.85,3.99,0.12,18.79,13.97,0.56,18.85,3.99
2024-10-01T15:00:00.000Z,2024-10-02T04:00:00.000+13:00,0.6,1.13,17.04,4.19,0.12,18.65,13.89,0.59,17.04,4.19
2024-10-01T16:00:00.000Z,2024-10-02T05:00:00.000+13:00,0.63,1.18,18.79,4.32,0.12,18.57,13.87,0.62,18.79,4.32
2024-10-01T17:00:00.000Z,2024-10-02T06:00:00.000+13:00,0.66,1.24,20.66,4.44,0.12,18.42,13.81,0.65,20.66,4.44
2024-10-01T18:00:00.000Z,2024-10-02T07:00:00.000+13:00,0.69,1.29,22.42,4.54,0.12,18.5,13.76,0.68,22.42,4.54
2024-10-01T19:00:00.000Z,2024-10-02T08:00:00.000+13:00,0.73,1.36,19.92,4.67,0.12,18.67,13.72,0.72,19.92,4.67
2024-10-01T20:00:00.000Z,2024-10-02T09:00:00.000+13:00,0.79,1.48,21.82,4.75,0.12,19.15,13.67,0.79,21.82,4.75
2024-10-01T21:00:00.000Z,2024-10-02T10:00:00.000+13:00,0.89,1.65,23.77,4.83,0.12,19.46,13.62,0.88,23.77,4.83
2024-10-01T22:00:00.000Z,2024-10-02T11:00:00.000+13:00,0.99,1.85,25.66,4.95,0.13,19.55,13.57,0.99,25.66,4.95
2024-10-01T23:00:00.000Z,2024-10-02T12:00:00.000+13:00,1.1,2.05,23.51,5.12,0.13,20.01,13.53,1.09,23.51,5.12
2024-10-02T00:00:00.000Z,2024-10-02T13:00:00.000+13:00,1.21,2.23,25.18,5.28,0.14,20.45,13.47,1.2,25.18,5.28
2024-10-02T01:00:00.000Z,2024-10-02T14:00:00.000+13:00,1.31,2.42,26.53,5.47,0.15,21.01,13.4,1.31,26.53,5.47
2024-10-02T02:00:00.000Z,2024-10-02T15:00:00.000+13:00,1.43,2.63,24.72,5.7,0.18,21.27,13.35,1.42,24.72,5.7
2024-10-02T03:00:00.000Z,2024-10-02T16:00:00.000+13:00,1.57,2.88,25.63,5.88,0.24,21.68,13.28,1.55,25.63,5.88
2024-10-02T04:00:00.000Z,2024-10-02T17:00:00.000+13:00,1.69,3.11,24.75,6.16,0.3,22.16,13.25,1.68,24.75,6.16
