time:Pacific/Auckland,air_temperature_at_2m_above_ground_level:tempC,air_temperature_at_2m_above_ground_level:K,visibility_in_air:km,visibility_in_air:m,wind_from_direction_at_10m_above_ground_level:deg,wind_from_direction_at_10m_above_ground_level:degree,wind_speed_at_10m_above_ground_level:kt,wind_speed_at_10m_above_ground_level:m.s^{-1},wind_speed_of_gust_at_10m_above_ground_level:kt,wind_speed_of_gust_at_10m_above_ground_level:m.s^{-1}
2024-07-23T00:00:00.000+12:00,8.470000000000027,281.62,24.13516,24135.16,230.3,230.3,22.529157686850244,11.59,33.492440633686776,17.23
2024-07-23T03:00:00.000+12:00,8.590000000000032,281.74,24.13471,24134.71,224.1,224.1,18.874730037904737,9.71,29.00215985226969,14.92
2024-07-23T06:00:00.000+12:00,8.680000000000007,281.83,24.13471,24134.71,226.5,226.5,15.84233262707761,8.15,27.816414710856513,14.31
2024-07-23T09:00:00.000+12:00,8.390000000000043,281.54,24.13471,24134.71,242.5,242.5,15.589632842842015,8.02,24.803455744970588,12.76
2024-07-23T12:00:00.000+12:00,9.220000000000027,282.37,24.13471,24134.71,234.6,234.6,15.82289418213641,8.14,21.51835854990787,11.07
2024-07-23T15:00:00.000+12:00,9.379999999999995,282.53,24.13516,24135.16,226.7,226.7,13.451403899310067,6.92,19.39956805131712,9.98
2024-07-23T18:00:00.000+12:00,9.160000000000025,282.31,24.13471,24134.71,246.3,246.3,11.546436295072516,5.94,18.17494602002155,9.35
2024-07-23T21:00:00.000+12:00,8.360000000000014,281.51,24.13471,24134.71,261.5,261.5,13.373650119545271,6.88,16.347732195548797,8.41
2024-07-24T00:00:00.000+12:00,7.930000000000007,281.08,24.13471,24134.71,264.9,264.9,14.053995692487254,7.23,15.064794829429628,7.75
2024-07-24T03:00:00.000+12:00,8.200000000000045,281.35,24.13471,24134.71,274,274,12.440604762367693,6.4,14.57883370589964,7.5
2024-07-24T06:00:00.000+12:00,8.240000000000009,281.39,24.13471,24134.71,257.5,257.5,10.010799144717753,5.15,11.254859620954521,5.79
2024-07-24T09:00:00.000+12:00,8.240000000000009,281.39,24.13471,24134.71,251.2,251.2,7.814254866362206,4.02,8.55291577412779,4.4
2024-07-24T12:00:00.000+12:00,8.860000000000014,282.01,24.13471,24134.71,294.9,294.9,6.317494605889844,3.25,6.6868250597726355,3.44
2024-07-24T15:00:00.000+12:00,10.080000000000041,283.23,24.13471,24134.71,329.3,329.3,5.384449248712267,2.77,5.928725707065853,3.05
2024-07-24T18:00:00.000+12:00,10.850000000000023,284,24.13471,24134.71,343.6,343.6,2.2742980581203436,1.17,2.954643631062327,1.52
2024-07-24T21:00:00.000+12:00,10.75,283.9,24.13516,24135.16,322.5,322.5,5.987041041889452,3.08,6.278617716007446,3.23
2024-07-25T00:00:00.000+12:00,9.970000000000027,283.12,24.13471,24134.71,291.3,291.3,6.939524844008228,3.57,7.736501086597409,3.98
2024-07-25T03:00:00.000+12:00,9,282.15,24.13427,24134.27,293.7,293.7,8.241900655068596,4.24,9.544276466128967,4.91
2024-07-25T06:00:00.000+12:00,9.100000000000023,282.25,24.13471,24134.71,267.7,267.7,8.55291577412779,4.4,9.583153356011362,4.93
2024-07-25T09:00:00.000+12:00,9.300000000000011,282.45,24.13471,24134.71,253.3,253.3,6.356371495772243,3.27,7.192224628243822,3.7
2024-07-25T12:00:00.000+12:00,10.04000000000002,283.19,24.13471,24134.71,273.8,273.8,4.295896332005094,2.21,4.5291576712994885,2.33
2024-07-25T15:00:00.000+12:00,10.730000000000018,283.88,24.13471,24134.71,238.3,238.3,0.447084233647589,0.23,1.0496760268247742,0.54
2024-07-25T18:00:00.000+12:00,10.710000000000036,283.86,24.13471,24134.71,82.7,82.7,6.49244061036064,3.34,7.367170632714618,3.79
2024-07-25T21:00:00.000+12:00,10.090000000000032,283.24,24.13471,24134.71,31.6,31.6,7.989200870833003,4.11,9.174946012246172,4.72
2024-07-26T00:00:00.000+12:00,9.680000000000007,282.83,24.13471,24134.71,356.6,356.6,4.840172790358681,2.49,5.209503244241471,2.68
2024-07-26T03:00:00.000+12:00,9.140000000000043,282.29,24.13471,24134.71,320.7,320.7,2.701943846826733,1.39,2.8574514063563288,1.47
2024-07-26T06:00:00.000+12:00,8.53000000000003,281.68,24.13427,24134.27,291.1,291.1,4.956803460005877,2.55,5.190064799300272,2.67
2024-07-26T09:00:00.000+12:00,8.150000000000034,281.3,24.13471,24134.71,298.7,298.7,6.784017284478633,3.49,7.036717068714227,3.62
2024-07-26T12:00:00.000+12:00,8.82000000000005,281.97,24.13471,24134.71,331.7,331.7,4.334773221887493,2.23,5.053995684711875,2.6
2024-07-26T15:00:00.000+12:00,9.710000000000036,282.86,24.13471,24134.71,34.9,34.9,3.848812098357505,1.98,4.665226785887884,2.4
2024-07-26T18:00:00.000+12:00,10.060000000000002,283.21,24.13516,24135.16,40.5,40.5,5.520518363300663,2.84,5.987041041889452,3.08
2024-07-26T21:00:00.000+12:00,10.010000000000048,283.16,24.13471,24134.71,234,234,2.6047516221207356,1.34,3.7516198736515074,1.93
2024-07-27T00:00:00.000+12:00,9.580000000000041,282.73,24.13471,24134.71,325.4,325.4,5.501079918359464,2.83,6.1814254913014475,3.18
2024-07-27T03:00:00.000+12:00,9.5,282.65,24.13471,24134.71,333.8,333.8,5.365010803771067,2.76,5.69546436777146,2.93
2024-07-27T06:00:00.000+12:00,10.050000000000011,283.2,24.13471,24134.71,303.1,303.1,7.755939531538608,3.99,9.81641469530576,5.05
2024-07-27T09:00:00.000+12:00,10.689999999999998,283.84,24.13516,24135.16,312.5,312.5,11.546436295072516,5.94,16.347732195548797,8.41
