time:Pacific/Auckland,hs:m,hmax:m,dpm:degree,tp:s,hs_above_8s:m,dpm_above_8s:degree,tp_above_8s:s,hs_below_8s:m,dpm_below_8s:degree,tp_below_8s:s
2024-07-23T00:00:00.000+12:00,2.2,3.97,93.73,11.82,1.7,93.73,11.82,1.42,236.32,4.01
2024-07-23T01:00:00.000+12:00,2.18,3.93,94.36,11.79,1.68,94.36,11.79,1.41,232.59,3.99
2024-07-23T02:00:00.000+12:00,2.14,3.85,95.09,11.77,1.66,95.09,11.77,1.37,228.39,3.98
2024-07-23T03:00:00.000+12:00,2.08,3.75,95.89,11.74,1.64,95.89,11.74,1.31,224.13,3.95
2024-07-23T04:00:00.000+12:00,2.03,3.65,96.76,11.71,1.63,96.76,11.71,1.25,219.64,3.91
2024-07-23T05:00:00.000+12:00,1.98,3.56,97.57,11.68,1.61,97.57,11.68,1.19,212.43,3.84
2024-07-23T06:00:00.000+12:00,1.94,3.49,98.28,11.66,1.59,98.28,11.66,1.15,215.05,3.67
2024-07-23T07:00:00.000+12:00,1.91,3.43,98.94,11.63,1.58,98.94,11.63,1.12,210.04,3.55
2024-07-23T08:00:00.000+12:00,1.89,3.38,99.62,11.61,1.56,99.62,11.61,1.1,219.72,3.37
2024-07-23T09:00:00.000+12:00,1.86,3.34,100.3,11.58,1.54,100.3,11.58,1.09,221.82,3.26
2024-07-23T10:00:00.000+12:00,1.84,3.3,100.98,11.54,1.52,100.98,11.54,1.08,224.04,3.22
2024-07-23T11:00:00.000+12:00,1.82,3.26,101.65,11.5,1.5,101.65,11.5,1.07,225.26,3.16
2024-07-23T12:00:00.000+12:00,1.8,3.23,102.31,11.46,1.48,102.31,11.46,1.06,234.36,3.12
2024-07-23T13:00:00.000+12:00,1.77,3.18,102.95,11.42,1.46,102.95,11.42,1.04,233.33,3.12
2024-07-23T14:00:00.000+12:00,1.75,3.13,103.55,11.38,1.43,103.55,11.38,1.03,231.66,3.11
2024-07-23T15:00:00.000+12:00,1.72,3.08,104.12,11.34,1.42,104.12,11.34,1.01,228.88,3.09
2024-07-23T16:00:00.000+12:00,1.69,3.03,104.68,11.31,1.4,104.68,11.31,0.99,226.83,3.06
2024-07-23T17:00:00.000+12:00,1.67,2.99,105.26,11.27,1.38,105.26,11.27,0.97,225.46,3.03
2024-07-23T18:00:00.000+12:00,1.65,2.95,105.9,11.23,1.37,105.9,11.23,0.95,223.46,3
2024-07-23T19:00:00.000+12:00,1.63,2.92,106.57,11.19,1.36,106.57,11.19,0.93,222.8,2.9
2024-07-23T20:00:00.000+12:00,1.63,2.91,107.25,11.15,1.36,107.25,11.15,0.93,242.44,2.77
2024-07-23T21:00:00.000+12:00,1.62,2.91,107.95,11.1,1.35,107.95,11.1,0.94,251.1,2.74
2024-07-23T22:00:00.000+12:00,1.62,2.91,108.64,11.05,1.35,108.64,11.05,0.94,258,2.75
2024-07-23T23:00:00.000+12:00,1.62,2.9,109.31,11,1.34,109.31,11,0.94,262.67,2.77
2024-07-24T00:00:00.000+12:00,1.61,2.89,109.96,10.94,1.33,109.96,10.94,0.94,266.22,2.78
2024-07-24T01:00:00.000+12:00,1.59,2.86,110.56,10.88,1.33,110.56,10.88,0.92,269.32,2.8
2024-07-24T02:00:00.000+12:00,1.57,2.82,111.12,10.81,1.32,111.12,10.81,0.9,271.88,2.79
2024-07-24T03:00:00.000+12:00,1.55,2.78,118.8,10.71,1.3,118.8,10.71,0.87,273.6,2.76
2024-07-24T04:00:00.000+12:00,1.52,2.72,119.16,10.63,1.29,119.16,10.63,0.84,273.53,2.72
2024-07-24T05:00:00.000+12:00,1.49,2.67,119.52,10.56,1.28,119.52,10.56,0.82,271.69,2.65
2024-07-24T06:00:00.000+12:00,1.47,2.62,119.83,10.51,1.26,119.83,10.51,0.79,267.51,2.52
2024-07-24T07:00:00.000+12:00,1.44,2.57,120.07,10.47,1.25,120.07,10.47,0.77,266.93,2.44
2024-07-24T08:00:00.000+12:00,1.42,2.52,120.26,10.43,1.23,120.26,10.43,0.74,260.87,2.33
2024-07-24T09:00:00.000+12:00,1.4,2.47,120.4,10.39,1.22,120.4,10.39,0.72,260.82,2.22
2024-07-24T10:00:00.000+12:00,1.38,2.43,120.48,10.36,1.21,120.48,10.36,0.71,259.57,2.13
2024-07-24T11:00:00.000+12:00,1.36,2.4,120.56,10.33,1.19,120.56,10.33,0.7,261.95,2.13
2024-07-24T12:00:00.000+12:00,1.34,2.37,120.62,10.3,1.18,120.62,10.3,0.7,234.1,2.14
2024-07-24T13:00:00.000+12:00,1.32,2.33,120.63,10.27,1.16,120.63,10.27,0.69,244.04,2.14
2024-07-24T14:00:00.000+12:00,1.3,2.29,120.62,10.25,1.14,120.62,10.25,0.68,200.29,2.19
2024-07-24T15:00:00.000+12:00,1.28,2.25,120.57,10.22,1.12,120.57,10.22,0.68,215.09,2.12
2024-07-24T16:00:00.000+12:00,1.26,2.21,120.47,10.2,1.09,120.47,10.2,0.67,,
2024-07-24T17:00:00.000+12:00,1.23,2.16,120.33,10.19,1.07,120.33,10.19,0.65,,
2024-07-24T18:00:00.000+12:00,1.21,2.12,120.16,10.17,1.05,120.16,10.17,0.64,,
2024-07-24T19:00:00.000+12:00,1.18,2.08,119.95,10.16,1.03,119.95,10.16,0.63,,
2024-07-24T20:00:00.000+12:00,1.16,2.03,119.72,10.14,1,119.72,10.14,0.62,,
2024-07-24T21:00:00.000+12:00,1.13,1.99,119.46,10.13,0.98,119.46,10.13,0.61,,
2024-07-24T22:00:00.000+12:00,1.11,1.95,119.14,10.11,0.96,119.14,10.11,0.6,,
2024-07-24T23:00:00.000+12:00,1.09,1.91,118.81,10.08,0.94,118.81,10.08,0.59,,
2024-07-25T00:00:00.000+12:00,1.07,1.87,118.46,10.06,0.92,118.46,10.06,0.58,,
2024-07-25T01:00:00.000+12:00,1.05,1.83,118.05,10.04,0.9,118.05,10.04,0.57,,
2024-07-25T02:00:00.000+12:00,1.03,1.8,117.61,10.01,0.89,117.61,10.01,0.56,,
2024-07-25T03:00:00.000+12:00,1.01,1.76,117.17,9.99,0.87,117.17,9.99,0.56,,
2024-07-25T04:00:00.000+12:00,0.99,1.73,116.7,9.96,0.85,116.7,9.96,0.55,,
2024-07-25T05:00:00.000+12:00,0.97,1.7,116.22,9.94,0.83,116.22,9.94,0.54,,
2024-07-25T06:00:00.000+12:00,0.95,1.67,115.75,9.91,0.81,115.75,9.91,0.54,,
2024-07-25T07:00:00.000+12:00,0.93,1.64,115.29,9.88,0.8,115.29,9.88,0.53,,
2024-07-25T08:00:00.000+12:00,0.92,1.61,114.85,9.84,0.78,114.85,9.84,0.53,,
2024-07-25T09:00:00.000+12:00,0.9,1.59,119.79,9.76,0.76,119.79,9.76,0.53,,
2024-07-25T10:00:00.000+12:00,0.88,1.56,119.02,9.67,0.74,119.02,9.67,0.52,,
2024-07-25T11:00:00.000+12:00,0.87,1.52,118.28,9.59,0.73,118.28,9.59,0.51,,
2024-07-25T12:00:00.000+12:00,0.85,1.49,117.59,9.53,0.71,117.59,9.53,0.51,,
2024-07-25T13:00:00.000+12:00,0.83,1.47,116.96,9.48,0.69,116.96,9.48,0.5,,
2024-07-25T14:00:00.000+12:00,0.82,1.44,116.4,9.44,0.67,116.4,9.44,0.5,,
2024-07-25T15:00:00.000+12:00,0.81,1.42,115.89,9.41,0.66,115.89,9.41,0.5,,
2024-07-25T16:00:00.000+12:00,0.79,1.4,115.43,9.39,0.64,115.43,9.39,0.5,,
2024-07-25T17:00:00.000+12:00,0.78,1.38,115,9.37,0.63,115,9.37,0.5,,
2024-07-25T18:00:00.000+12:00,0.77,1.36,114.6,9.35,0.61,114.6,9.35,0.5,,
2024-07-25T19:00:00.000+12:00,0.75,1.33,114.21,9.33,0.6,114.21,9.33,0.49,,
2024-07-25T20:00:00.000+12:00,0.74,1.31,113.85,9.32,0.58,113.85,9.32,0.49,45.91,1.77
2024-07-25T21:00:00.000+12:00,0.73,1.29,113.52,9.3,0.57,113.52,9.3,0.48,29.59,1.77
2024-07-25T22:00:00.000+12:00,0.72,1.28,113.2,9.29,0.55,113.2,9.29,0.48,30.16,1.78
2024-07-25T23:00:00.000+12:00,0.71,1.27,112.89,9.28,0.54,112.89,9.28,0.48,29.98,1.99
2024-07-26T00:00:00.000+12:00,0.69,1.24,112.61,9.27,0.53,112.61,9.27,0.47,33.42,2.17
2024-07-26T01:00:00.000+12:00,0.67,1.21,112.35,9.25,0.52,112.35,9.25,0.45,33.97,2.3
2024-07-26T02:00:00.000+12:00,0.65,1.17,112.07,9.24,0.51,112.07,9.24,0.44,44.78,2.43
2024-07-26T03:00:00.000+12:00,0.64,1.14,111.83,9.22,0.5,111.83,9.22,0.42,,
2024-07-26T04:00:00.000+12:00,0.62,1.12,111.59,9.2,0.49,111.59,9.2,0.41,,
2024-07-26T05:00:00.000+12:00,0.61,1.09,111.36,9.19,0.48,111.36,9.19,0.4,,
2024-07-26T06:00:00.000+12:00,0.59,1.06,111.15,9.17,0.47,111.15,9.17,0.38,,
2024-07-26T07:00:00.000+12:00,0.58,1.03,110.95,9.14,0.46,110.95,9.14,0.37,,
2024-07-26T08:00:00.000+12:00,0.57,1.01,110.77,9.12,0.46,110.77,9.12,0.36,,
2024-07-26T09:00:00.000+12:00,0.56,1,110.57,9.1,0.45,110.57,9.1,0.36,,
2024-07-26T10:00:00.000+12:00,0.56,1.01,110.32,9.07,0.44,110.32,9.07,0.38,,
